Clock Period (ns),Frequency (MHz),Total Area (um2),Gate Count (Kgates),Total Power (uW),Slack (ns),Leakage (uW),Dynamic (mW),Efficiency uW/MHz
4.0,250.0,29803.704,37.255,886.0255,0.0,399.9767,0.486049,3.544102
4.5,222.2222,29032.57,36.291,870.0072,0.0,387.7251,0.482281,3.915032
5.0,200.0,28796.894,35.996,861.9722,0.0,380.8296,0.481142,4.309861
5.5,181.8182,28712.572,35.891,859.0575,0.01,378.3734,0.480684,4.724816
6.0,166.6667,28697.942,35.872,858.938,0.27,378.1135,0.480825,5.153628
7.0,142.8571,28675.598,35.844,857.8745,1.08,377.2274,0.480647,6.005121
8.0,125.0,28672.406,35.841,857.6845,1.89,377.0623,0.480622,6.861476
9.0,111.1111,28672.406,35.841,857.6845,2.89,377.0623,0.480622,7.71916
10.0,100.0,28672.406,35.841,857.6845,3.89,377.0623,0.480622,8.576845
20.0,50.0,28672.406,35.841,857.6845,13.89,377.0623,0.480622,17.15369
30.0,33.3333,28672.406,35.841,857.6845,23.89,377.0623,0.480622,25.730535
40.0,25.0,28672.406,35.841,857.6845,33.89,377.0623,0.480622,34.30738
60.0,16.6667,28672.406,35.841,857.6845,53.89,377.0623,0.480622,51.46107
