Clock Period (ns),Frequency (MHz),Total Area (um2),Gate Count (Kgates),Total Power (uW),Slack (ns),Leakage (uW),Dynamic (mW),Efficiency uW/MHz
10.0,100.0,149718.0,187.148,53382.3,-0.58,2072.8,51.3188,533.823
15.0,66.6667,57732.0,72.165,52552.1,0.01,1302.8,51.259,788.2815
20.0,50.0,55320.0,69.15,52530.5,3.37,1282.3,51.2578,1050.61
30.0,33.3333,55320.0,69.15,52530.5,13.37,1282.3,51.2578,1575.915
35.0,28.5714,55320.0,69.15,52530.5,18.37,1282.3,51.2578,1838.5675
40.0,25.0,55320.0,69.15,52530.5,23.37,1282.3,51.2578,2101.22
45.0,22.2222,55320.0,69.15,52530.5,28.37,1282.3,51.2578,2363.8725
50.0,20.0,55320.0,69.15,52530.5,33.37,1282.3,51.2578,2626.525
55.0,18.1818,55320.0,69.15,52530.5,38.37,1282.3,51.2578,2889.1775
60.0,16.6667,55320.0,69.15,52530.5,43.37,1282.3,51.2578,3151.83
